set,i,instance,n,d,floor,strategy,best_rho,gap,n_eval,wall,budget
circulant,14,"C80(1,2)",80,4,3.464102,family,2.822979,-0.641122,2000,0.648,2000
circulant,14,"C80(1,2)",80,4,3.464102,randcon,3.472221,0.008119,2000,0.638,2000
circulant,14,"C80(1,2)",80,4,3.464102,random,3.250076,-0.214025,2000,0.604,2000
circulant,14,"C80(1,2)",80,4,3.464102,anneal,3.081797,-0.382304,2000,0.583,2000
circulant,14,"C80(1,2)",80,4,3.464102,tabu,3.080779,-0.383322,2000,0.575,2000
circulant,15,"C84(1,2)",84,4,3.464102,family,2.823485,-0.640616,2000,0.673,2000
circulant,15,"C84(1,2)",84,4,3.464102,randcon,3.519662,0.055561,2000,0.714,2000
circulant,15,"C84(1,2)",84,4,3.464102,random,3.160832,-0.303269,2000,0.674,2000
circulant,15,"C84(1,2)",84,4,3.464102,anneal,3.134058,-0.330043,2000,0.645,2000
circulant,15,"C84(1,2)",84,4,3.464102,tabu,3.158385,-0.305716,2000,0.627,2000
circulant,16,"C88(1,2)",88,4,3.464102,family,2.823924,-0.640178,2000,0.765,2000
circulant,16,"C88(1,2)",88,4,3.464102,randcon,3.478129,0.014028,2000,0.706,2000
circulant,16,"C88(1,2)",88,4,3.464102,random,3.176028,-0.288074,2000,0.713,2000
